country,region,gmo_stance,notes,source
Algeria,Africa (North),Ban,Prohibits GMO seed imports and cultivation; strict biosafety rules.,https://www.genewatch.org/sub-532324
Argentina,Americas (South),"Allows cultivation of GM soybean, maize, and cotton (very high adoption).",Regulator: CONABIA under the Secretariat of Bioeconomy; SENASA handles food/feed safety; legal framework since 1991.,https://www.argentina.gob.ar/agricultura/bioeconomia/biotecnologia/conabia; https://www.argentina.gob.ar/senasa/programas-sanitarios/cadena-vegetal/cereales/cereales-industria/biotecnologia/organismos-vegetales-geneticamente-modificados; https://www.magyp.gob.ar/sitio/areas/biotecnologia/marco_legal/
Australia,Oceania,"Cultivates GM cotton (since 1996), GM canola (since 2003), and GM safflower (2018).","Regulators: OGTR (environmental release), FSANZ (food).",https://ogtr.gov.au/resources/publications/genetically-modified-gm-cotton-australia; https://www.ogtr.gov.au/sites/default/files/files/2021-06/12_-_genetically_modified_gm_canola_in_australia.pdf; https://www.ogtr.gov.au/sites/default/files/2021-09/genetically_modified_gm_safflower_in_australia.pdf
Austria,Europe,Ban,Safeguard clause against MON810; ban maintained.,https://www.reuters.com/article/us-austria-gmo-idUSLDE60L1DJ20100122
Bangladesh,Asia (South),First country to cultivate Bt brinjal (eggplant) starting 2013/2014; expansion continues via BARI varieties.,"Regulators: National Committee on Biosafety (NCB) and Ministry of Environment, Forest and Climate Change; BARI implements deployment.",https://pmc.ncbi.nlm.nih.gov/articles/PMC6771371/; https://www.apaari.org/web/wp-content/uploads/downloads/2018/Bt%20Brinjal%20in%20Bangladesh%20final.pdf
Brazil,Americas (South),"Allows cultivation of GM soybean, maize, cotton, canola, eucalyptus, sugarcane; one of the largest GMO producers globally.",Approvals managed by CTNBio (National Biosafety Technical Commission); commercialization requires inter-ministerial approval.,https://www.gov.br/mcti/pt-br/assuntos/ctnbio; https://apps.fas.usda.gov/gainfiles/2021/2021-0044.pdf
Canada,Americas (North),"Allows cultivation of GM canola, maize, soybean, sugar beet, alfalfa, others.","Regulators: CFIA (environmental safety), Health Canada (food safety). First approval: herbicide-tolerant canola in 1995.",https://inspection.canada.ca/plant-varieties/plants-with-novel-traits/eng/1338390285802/1338390381370; https://www.canada.ca/en/health-canada/services/food-nutrition/genetically-modified-foods-other-novel-foods.html
China,Asia (East),"Cultivates Bt cotton; has biosafety certificates for GM rice and maize but no commercial cultivation. Approves many GM crops for import (soy, maize, canola).",Regulator: Ministry of Agriculture and Rural Affairs (MARA).,http://english.moa.gov.cn/; https://www.isaaa.org/resources/publications/briefs/44/executivesummary/default.asp
Ecuador,Americas (South),Ban,2008 Constitution prohibits GMO cultivation; limited exceptions.,https://www.fao.org/faolex/results/details/en/c/LEX-FAOC084099/
Egypt,Africa (North),No commercial GM crop cultivation; imports GM foods/feeds permitted; cultivation ban since 2012 decree.,Regulators: Ministry of Agriculture/Egyptian Biosafety bodies; food/feed per standard import rules.,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Biotechnology+and+Other+New+Production+Technologies+Annual_Cairo_Egypt_EG2023-0021.pdf; https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Annual+Agricultural+Biotechnology+Report_Cairo_Egypt_07-20-2006.pdf
Ethiopia,Africa (Horn),Only GE crop cultivated is Bt cotton (approved 2018); additional GE work under research/CFTs.,"Regulator: Environment, Forest and Climate Change Commission (biosafety).",https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Addis+Ababa_Ethiopia_10-20-2021; https://apps.fas.usda.gov/newgainapi/api/report/downloadreportbyfilename?filename=Agricultural+Biotechnology+Annual_Addis+Ababa_Ethiopia_2-11-2019.pdf
European Union,Europe,EU allows cultivation of one GM crop (MON810 maize) in Spain and Portugal; imports and processes many GM crops for feed/food.,"Regulators: EFSA (risk assessment), European Commission (approval), Council/Member States (vote). Cultivation bans in several member states.",https://food.ec.europa.eu/plants/genetically-modified-organisms/gmo-authorisations_en; https://cordis.europa.eu/article/id/418015-gmo-cultivation-in-europe
France,Europe,Ban,Safeguard clause banning MON810 maize cultivation.,https://www.euractiv.com/section/agriculture-food/news/france-extends-gmo-ban/
Germany,Europe,Ban,Banned MON810 cultivation (2009); continues to prohibit GM cultivation.,https://www.dw.com/en/germany-bans-genetically-modified-corn/a-4155918
Greece,Europe,Ban,Safeguard clause banning MON810 maize cultivation.,https://ec.europa.eu/commission/presscorner/detail/en/IP_06_498
Hungary,Europe,Ban,Declared GMO-free; prohibits MON810 cultivation.,https://www.reuters.com/article/us-hungary-gmo-idUSTRE53L3Q020090422
India,Asia (South),Allows cultivation of Bt cotton; no other GM crops approved for commercial cultivation. GM mustard cleared in 2022 but contested; Bt brinjal moratorium since 2010.,"Regulator: Genetic Engineering Appraisal Committee (GEAC) under Ministry of Environment, Forest and Climate Change.",https://geacindia.gov.in/; https://www.thehindu.com/sci-tech/agriculture/india-approves-commercial-cultivation-of-gm-mustard/article66033822.ece; https://www.downtoearth.org.in/news/agriculture/10-years-of-bt-brinjal-moratorium-india-must-not-ignore-the-science-69471
Italy,Europe,Ban,Decree banning MON810 maize cultivation (2013); later upheld by court.,https://www.reuters.com/article/italy-gmo-idUSL6N0G92AK20130813
Kenya,Africa (East),Bt cotton commercial since 2020; government moved to enable GM food crops (Bt maize) though court cases continued in 2023.,Regulator: National Biosafety Authority (NBA).,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Nairobi_Kenya_KE2023-0007; https://www.isaaa.org/kc/cropbiotechupdate/article/default.asp?ID=20477
Mexico,Americas (North),Cultivates GM cotton; GM maize cultivation remains restricted/contested; large importer of GM maize/soy.,"Regulators: SENASICA (field releases), COFEPRIS (food/feed). Ongoing policy actions on GE corn since 2020.",https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Mexico+City_Mexico_10-20-2019; https://ustr.gov/sites/default/files/4_U.S.%20Rebuttal%20Submission%20w%20Annexes%20%28fin%29%20%5BPUBLIC%5D.pdf
New Zealand,Oceania,No commercial GM crop cultivation historically; GM foods permitted after FSANZ assessment. Government announced reforms in 2024 to end the outside-lab ban by end-2025 (process ongoing).,"Regulators: MPI (food labelling in NZ context), FSANZ (food approvals), EPA/HSNO for environmental releases (reform underway).",https://www.beehive.govt.nz/release/new-zealand-benefit-end-gene-tech-ban; https://www.foodstandards.gov.au/consumer/gmfood/labelling
Nigeria,Africa (West),"Commercial approvals for GM maize, cowpea and cotton",NBMA oversees biosafety; TELA maize commercially released in 2024 after prior environmental release.,https://allianceforscience.org/blog/2021/10/nigeria-green-lights-gmo-maize/; https://www.isaaa.org/kc/cropbiotechupdate/article/default.asp?ID=20598; https://nbma.gov.ng/
Paraguay,Americas (South),"Cultivates GM soybean, maize and cotton with very high adoption in soybean.",Regulators: SENAVE/MAG; biotech adoption expanded mid-2000s onward.,https://apps.fas.usda.gov/gainfiles/200807/146295212.pdf; https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Buenos+Aires_Paraguay_8-8-2012.pdf
Peru,Americas (South),Restrictive,Moratorium on GM crops (2011) extended to 2035.,https://andina.pe/ingles/noticia-peru-extends-moratorium-on-genetically-modified-organisms-to-2035-875469.aspx
Philippines,Asia (Southeast),GE corn cultivated since 2002; Golden Rice got commercial propagation permit in 2021 and Bt eggplant in 2022; in Apr 2024 the Court of Appeals revoked Golden Rice’s propagation permit and halted Bt eggplant release.,Regulator: Department of Agriculture – Bureau of Plant Industry (DA-BPI); biosafety under Joint Department Circular No. 1 (2021).,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Manila_Philippines_RP2024-0039.pdf; https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Philippines+First+in+World+to+Approve+Golden+Rice+for+Propagation_Manila_Philippines_07-01-2021.pdf; https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Philippines+Approved+Bt+Eggplant+for+Commercial+Cultivation_Manila_Philippines_RP2022-0061.pdf; https://www.keine-gentechnik.de/fileadmin/news_links/1715343897-urteil-philippinen-ca-g-r-sp-no-00038.pdf
Poland,Europe,Ban,Banned cultivation of MON810 maize and Amflora potato (2013).,https://www.reuters.com/article/us-poland-gmo-idUSBRE9070L120130108
Russia,Europe/Asia,Restrictive,Ban on GMO cultivation; imports allowed case-by-case (2016).,https://www.reuters.com/article/russia-gmo-idUSL5N18U2LQ
Saudi Arabia,Asia (West),Restrictive,"Cultivation banned; some imports require GMO-free certificates (wheat, barley, feed).",https://apps.fas.usda.gov/gainfiles/200302.pdf
South Africa,Africa (South),"Allows cultivation & import of GM maize, soybean, and cotton under the GMO Act",Permits via Registrar; decisions by Executive Council; implementation via DALRRD.,https://biosafety.org.za/understanding-gmos/gmo-regulation/how-are-gmos-regulated-in-south-africa/; https://www.dalrrd.gov.za/; https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Pretoria_South+Africa+-+Republic+of_SF2024-0027.pdf
Switzerland,Europe,Moratorium,National moratorium on GMO cultivation since 2005; extended to 2025.,https://www.admin.ch/gov/en/start/documentation/media-releases.msg-id-87367.html
Thailand,Asia (Southeast),Restrictive,No commercial GM cultivation; confined field trials only.,https://apps.fas.usda.gov/gainfiles/200105.pdf
Turkey,Europe/Asia,Restrictive,No GM crop cultivation; imports tightly regulated.,https://www.oecd.org/biotrack/countryreports.htm
United States,Americas (North),"Allows cultivation of GM soybean, maize, cotton, canola, alfalfa, sugar beet, papaya, squash, apple, potato, others.","Regulators: USDA-APHIS (planting), EPA (pesticides), FDA (food/feed safety). First approvals mid-1990s.",https://usda-aphis-ags.maps.arcgis.com/home/item.html?id=72b9895a61a44a77b3d6592cb93b0e9e; https://www.epa.gov/regulation-biotechnology-under-tsca-and-fifra; https://www.fda.gov/food/agricultural-biotechnology
Uruguay,Americas (South),Cultivates GM soybean and maize; predictable approval system.,Regulator: MGAP/CONBIO (events approved since 1998–2011+).,https://apps.fas.usda.gov/newgainapi/api/report/downloadreportbyfilename?filename=agricultural+biotechnology+annual_buenos+aires_uruguay_7-2-2012.pdf; https://voyager.fas.usda.gov/voyager/navigo/show?disp=default&id=8b5853e7-79a2-59ee-a6aa-2a5e6d03e354
Venezuela,Americas (North),Ban,Government prohibited GM crop cultivation (2004).,https://www.theguardian.com/environment/2004/apr/21/venezuela.gm
Vietnam,Asia (Southeast),"Only GE corn is cultivated; approvals started 2014–2016, resumed 2023; area surpassed 100k ha in 2020 and ~220k ha in 2023 (industry est.).",Regulator: MARD (cultivation approvals) and MONRE (biosafety); imports/food-feed approvals also maintained.,https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Hanoi_Vietnam_VM2024-0050.pdf; https://apps.fas.usda.gov/newgainapi/api/Report/DownloadReportByFileName?fileName=Agricultural+Biotechnology+Annual_Hanoi_Vietnam_VM2022-0073.pdf
Zambia,Africa (South),Ban,Rejected GMO maize food aid (2002); long-standing restrictive stance.,https://www.theguardian.com/world/2002/aug/16/famine.kenya
